Day,Date,Week,Start Time,Hour,Source,Purpose of contact,Description,Is the enquirer a student?,Category,Action Taken,Is the case forwarded to officer-in-charge?,Has the problem resolved?,Attended by,Closed by,End Date,End Time,,,,,,,,,,,,,,,
Saturday,20/08/2022,3,15:21:00,15,Facebook,Enquiry,Pertanyaan tentang tarikh pendaftaran kelas pengajian Bahasa Arab,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,20/08/2022,3,12:11:00,12,Phone,Enquiry,Pertanyaan tentang PAQ 2 hendak naik ke PAQ 3 nak kena register lagi? Bukan hari ni ada kelas?,Yes,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,20/08/2022,3,14:10:00,14,Counter,Transaction,Buy book - Nota Sejarah Perundangan Islam - Feeza Atiqa Bte Hamzah,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,20/08/2022,3,15:20:00,15,Counter,Transaction,Pay Fees - DPI22 Y2 S2 - Muhammad Irfan Bin Hajis,Yes,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,07:48:00,7,Facebook,Enquiry,Pertanyaan tentang tempat kelas pengajian di timur,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,01:55:00,1,Facebook,Enquiry,Pertanyaan tentang permulaan kelas Bahasa Arab,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,00:35:00,0,Facebook,Enquiry,Pertanyaan tentang tempo dan bahasa penyampian kelas Al-Quran,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,10:55:00,10,Facebook,Enquiry,Pertanyaan tentang had umur,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,10:45:00,10,Facebook,Enquiry,Pertanyaan tentang syarat kemasukan program Al-Quran,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,11:26:00,11,Facebook,Enquiry,Pertanyaan tentang kelas pengajian Bahasa Arab,No,General,Adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,22:28:00,22,Email,Transaction,Pendaftaran SLPI,No,Registration,Received payment and adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,21:07:00,21,Email,Transaction,Pendaftaran pengajian bahasa arab,No,Registration,Received payment and adviced accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,20:11:00,20,Email,Transaction,Pendaftaran pengajian bahasa arab,No,Registration,Received payment and adviced accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,13:42:00,13,Email,Transaction,Pendaftaran pengajian Al Qur'an,No,Registration,Received payment and adviced accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,14:17:00,14,Facebook,Enquiry,Pertanyaan tentang pengajian kelas Bahasa Arab,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,21/08/2022,4,12:25:00,12,Phone,Enquiry,Check attendance PTI Eng - Muhammad Zafran,Yes,Classes,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,09:10:00,9,Instagram,Enquiry,Permulaan kelas pengajian Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,08:02:00,8,Facebook,Enquiry,Tempoh Pengajian Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,11:50:00,11,Counter,Transaction,Pay fees SLPI sem 2 S8301314A,No,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,14:46:00,14,Instagram,Enquiry,Next Cycle intake kelas Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,18:30:00,18,Counter,Transaction,buy ipip book tajwid asas,No,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,22:42:00,22,Facebook,Enquiry,Pertanyaan tentang jadual pengajian Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,21:37:00,21,Facebook,Enquiry,Pertanyaan tentang jadual pengajian Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,21:18:00,21,Facebook,Enquiry,Masaalah pendaftaran,No,General,Still prompting,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,19:41:00,19,Facebook,Enquiry,Masaalah pendaftaran,No,General,Still prompting,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,21:16:00,21,Email,Transaction,registeration fees,No,Registration,Received payment and adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,12:58:00,12,Email,Transaction,Pendaftaran pengajian Al-Quran,No,Registration,Received payment and adviced accordingly,No,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,15:54:00,15,Email,Transaction,Fees for pengajian Al-Quran,Yes,Fees,Received payment and adviced accordingly,No,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,11:50:00,11,Counter,Transaction,Pay fees SLPI sem 2 S8301314A,Yes,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,18:30:00,18,Counter,Transaction,buy ipip book tajwid asas,Yes,Books,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,22/08/2022,4,18:35:00,18,Counter,Enquiry,Ustaz razif issue marks for his class for Ustaz Abdillah,No,General,Marks on ustaz Abdillah table,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,01:28:00,1,Facebook,Enquiry,Pertanyaan tentang jadual pengajian Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,00:17:00,0,Facebook,Enquiry,Pertanyaan tentang had umur kelas pengajian Al-Quran,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,19:26:00,19,Email,Transaction,Pembayaran Yuran DPI,No,General,Received payment and adviced accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,11:09:00,11,Counter,Transaction,Collect cert PBA and buy book - BA 301 - Nur Faizee Bin Mohd Nasir,Yes,Certificate,Issued cert but book not in stock,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,11:15:00,11,Phone,Enquiry,Nak register untuk PAQ di kaunter boleh atau nak kena onine? - Rashida,No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,11:30:00,11,Phone,Enquiry,Registering onine not working so what to put under the salary section? - Rashida,No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,11:32:00,11,Phone,Enquiry,Registering onine for PAQ 1 Wed which option to select under 'Pilihan Sesi Pengajian'? - Rashida,No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,11:46:00,11,Phone,Enquiry,Registering onine have submitted the form but have not made payment of the registration fee. Can you please assist? - Rashida,No,Registration,Forwarded link via email,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,12:27:00,12,Phone,Enquiry,Regarding BIRKH wants to take year 4 only can or not? - Muhd Ziyad,No,General,Referred to Ustaz Afiq Zikry and advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,23/08/2022,4,12:39:00,12,Phone,Enquiry,Call for Ustazah Zahirah of IPIP,Yes,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,21:54:00,21,Facebook,Enquiry,Bahasa Penyampaian,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,10:42:00,10,Email,Enquiry,PAQ registration,No,Registration,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,08:52:00,8,Email,Enquiry,Tangguhan kelas Sirah,Yes,Classes,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,10:28:00,10,Counter,Transaction,Collect BIRKH cert on behalf of wife Sharifah Nurjannah,Yes,Certificate,Referred to Ustaz Afiq Zikry of IPIP,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,11:06:00,11,Counter,Transaction,Collect BIRKH cert - Rashidah Bte Sulaiman,Yes,Certificate,Referred to Ustaz Afiq Zikry of IPIP,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,12:05:00,12,Counter,Transaction,Collect BIRKH cert - Sumartomo and Farida,Yes,Certificate,Issued cert as instructed by Ustaz Afiq Zikry of IPIP,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,13:40:00,13,Counter,Transaction,Collect Masters Photo - Farah,Yes,General,Issued photos as instructed by Ustaz Afiq Zikry of IPIP,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,14:55:00,14,Counter,Transaction,Collect BIRKH cert - Hayyan,Yes,General,Issued cert as instructed by Ustaz Afiq Zikry of IPIP,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,14:56:00,14,Phone,Enquiry,Want to buy Nota Usul Fiqh. Is your office still open? Until what time will the office be open?,Yes,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,15:05:00,15,Phone,Enquiry,Call for Ustazah Zahirah regarding PAQ 3. Has completed PAQ 2 but there was no follow up regarding the continuation of next studies - Khadijah,Yes,Classes,Referred to Ustaz Amruu Hussein,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,15:25:00,15,Counter,Transaction,Buy book - Nota Usul Fiqh (1 copy) - Aishah Abdul Rahman,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,15:30:00,15,Counter,Enquiry,Buy book - Tauhid for DPI,Yes,Books,Advised to buy from Muslimedia,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Wednesday,24/08/2022,4,16:55:00,16,Phone,Enquiry,PAQ course information. Ada tempat solat? Lelaki dengan perempuan separated?,No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,10:52:00,10,Facebook,Enquiry,Tempat pengajian bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,10:43:00,10,Facebook,Enquiry,Tempoh Pengajian Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,11:27:00,11,Facebook,Enquiry,maklumat lebih lanjut tetang kursus bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,12:20:00,12,Facebook,Enquiry,Pertanyaan tentang Master Programme intake,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,12:33:00,12,Instagram,Enquiry,Pertanyaan tentang syarat kemasukan program Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,14:28:00,14,Facebook,Enquiry,Online class for arabic class,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,14:33:00,14,Facebook,Enquiry,Fees for pengajian kelas Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,17:05:00,17,Instagram,Enquiry,Kursus yang diadakan pada masa dekat,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,15:53:00,15,Email,Enquiry,MC for SPI Class,Yes,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,14:58:00,14,Facebook,Enquiry,Pertanyaan tentang pembayaran,Yes,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,21:14:00,21,Facebook,Enquiry,Pertanyaan tentang pembayaran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,22:47:00,22,Facebook,Enquiry,Pertanyaan tentang pendaftaran bila dibuka,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,20:37:00,20,Facebook,Enquiry,Tempoh pengajian,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,20:22:00,20,Facebook,Enquiry,Jadual program,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,18:46:00,18,Facebook,Enquiry,Pertanyaan tentang pengajian Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,18:35:00,18,Instagram,Enquiry,Link to register pengajian Al-Quran and Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,23:18:00,23,Email,Enquiry,Pertanyaan tentang tarikh potongan Giro,Yes,Fees,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,11:10:00,11,Counter,Transaction,Collect cert BA 201 - Saidah Binte Shariff,Yes,Registration,Issued cert,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,11:49:00,11,Phone,Enquiry,"PAQ course schedule, class size and register online or over the counter?",No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,12:38:00,12,Phone,Enquiry,PAQ nak ambil pertengahan tanpa asas boleh ke tidak? Ada DPI Pergas.,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,14:08:00,14,Phone,Enquiry,"PAQ course information, schedule and pre-requisites",No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,15:48:00,15,Counter,Transaction,Attempted to register for PAQ online but to no avail. Wants to register physically and pay fees - Mohamed Bin Mohamed Yatim,No,Registration,Received registration form and payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,18:50:00,18,Counter,Transaction,Buy book - Fiqh dan Akhlak (3 copies) - Wardina Binte Abdul-Razak,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Thursday,25/08/2022,4,18:55:00,18,Counter,Transaction,Pay fees SPI Express - Aara Humairah Abdullah,Yes,Fees,received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,08:56:00,8,Facebook,Enquiry,Had Umur,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,16:13:00,16,Facebook,Enquiry,Pertanyaan tentang bayaran dan syarat kemasukan Pengajian Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,17:50:00,17,Email,Enquiry,Registration fees for class PAQ,Yes,Registration,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,11:32:00,11,Phone,Enquiry,"PBA course schedule, fees and price of book",Yes,Fees,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,18:20:00,18,Counter,Transaction,Buy books - All DPI - Nurul Ain Binte Othman,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,18:25:00,18,Counter,Enquiry,Student asked for his class - PTI,Yes,Classes,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Friday,26/08/2022,4,18:26:00,18,Counter,Enquiry,Ustaz Raziff asked which classroom is his class,No,Classes,Referred to Ustazah Zahirah of IPIP and advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,19:45:00,19,Facebook,Enquiry,Can commit PAQ class 3 times a month only,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,21:46:00,21,Facebook,Enquiry,Tempoh pengajian,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,15:03:00,15,Facebook,Enquiry,Had umur dan jadual kursusnya,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,13:45:00,13,Facebook,Enquiry,Jadual program,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,10:20:00,10,Facebook,Enquiry,Pertanyaan tentang pendaftaran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,16:18:00,16,Email,Enquiry,Pertanyaan tentang attendance disebabkan kerap medical leave,Yes,Classes,Absent on the days of medical leave is excused,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,09:27:00,9,Phone,Enquiry,May I know if today's SPI class is online or face-to-face?,Yes,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,10:19:00,10,Phone,Enquiry,Has logged in to zoom from 9am for SPI online class but until now also the class haven't start,Yes,Classes,Referred to IPIP via WhatsApp,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,10:21:00,10,Phone,Enquiry,PAQ course information,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,11:42:00,11,Phone,Enquiry,PAQ course schedule / class is once or twice a week?,No,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,12:32:00,12,Counter,Transaction,Collect PTI Cert - Khairunisa Bte Md Hussin and Nur Fatin Binte Abdul Rahman,Yes,Registration,Issued certs,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,14:20:00,14,Counter,Transaction,Handed over students' GIRO form - Zulherryka Bin Muhammad Yusof,Yes,Fees,Received form and placed in Finance in-tray,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,14:54:00,14,Counter,Transaction,Buy book - Nota Usul Fiqh - Nurul Huda Bte Ibrahim,Yes,Books,Received payment and issued book,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,16:20:00,16,Counter,Transaction,Pay DPI Fees First Payment - MOHAMATARIAMI BIN SALIM,Yes,Fees,Received payment,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Saturday,27/08/2022,4,17:27:00,17,Counter,Transaction,Buy books - Sistem-Sistem Islam (2 copies) - QAMARUL ZAMAN BIN HUSSIN,Yes,Books,Received payment and issued books,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,06:29:00,6,Facebook,Enquiry,Jadual program,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,06:22:00,6,Facebook,Enquiry,Jadual program,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,09:56:00,9,Facebook,Enquiry,pernah belajar bahasa arab bagaimana boleh sambung,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,10:21:00,10,Facebook,Enquiry,Pertanyaan tentang transportation,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,21:21:00,21,Email,Enquiry,"MC, tidak dapat hadir kelas SLPI COH1",Yes,Classes,Excused,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,20:35:00,20,Email,Enquiry,Penarikan diri daripada kelas Diploma,Yes,Classes,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,09:15:00,9,Counter,Enquiry,Pertanyaan tentang kelas fiqh bahasa melayu di mana?,Yes,Registration,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,10:05:00,10,Phone,Enquiry,link for Online PTI eng,Yes,General,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Sunday,28/08/2022,5,10:54:00,10,Email,Enquiry,Qur'an classes in English,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,23:22:00,23,Facebook,Enquiry,Jadual program Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,21:54:00,21,Facebook,Enquiry,Pertanyaan tentang Pengajian Bahasa Arab,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,18:24:00,18,Facebook,Enquiry,Pertanyaan tentang yuran dan cara pendaftran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,17:33:00,17,Facebook,Enquiry,Pertanyaan tentang Had Umur,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,11:41:00,11,Facebook,Enquiry,Pertanyaan tentang link isi borang pengajian,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,10:55:00,10,Facebook,Enquiry,Pertanyaan tentang kelas PTI,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,29/08/2022,5,14:46:00,14,Email,Enquiry,Request for a supporting document on attendance of Solace Care Consultation on 25 Aug 2022 at 8.30pm. Requires document for absence from PTI class on the same day,Yes,Classes,Forwarded to Ustazah Nadhirah and IPIP,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,10:18:00,10,Facebook,Enquiry,Pertanyaan tentang sijil untuk mengajar,No,Certificate,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,10:59:00,10,Instagram,Enquiry,Pertanyaan tentang tadabbur kelas Al-Quran,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,14:29:00,14,Facebook,Enquiry,Pertanyaan tentang pembayaran BIRKH,No,General,Adviced Accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,15:52:00,15,Facebook,Enquiry,Pertanyaan tentang kemasukan SPI tanpa sijil,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,19:04:00,19,Email,Transaction,Pembayaran yuran DPI,Yes,Fees,Received payment and adviced accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,19:48:00,19,Facebook,Enquiry,Petanyaan tentang pendaftaran SLPI,No,General,Adviced Accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,21:57:00,21,Email,Enquiry,MC for SPI Class,Yes,Classes,Excused,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,09:28:00,9,Email,Enquiry,"MC, tidak hadir kelas",Yes,Classes,Excused,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,12:16:00,12,Counter,Transaction,Ustazah Nur Aamal Binte Arif Handed over exam papers for Ustaz Abdillah,No,General,Placed exam papers on Ustaz Abdillah's desk,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,14:14:00,14,Phone,Enquiry,PBA course schedule and fees,No,General,Advised accordingly,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,14:19:00,14,Phone,Enquiry,Call for Ustaz Abdillah regarding exam results,Yes,Exams,Ustaz Abdillah was not in office. Caller will correspond with Ustaz Abdillah via email,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,14:42:00,14,Phone,Enquiry,Call for person in-charge of degree,Yes,Exams,Ustaz Afiq Zikry was not in office. Caller will call again on another day.,No,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,15:37:00,15,Phone,Enquiry,Buku panduan tentang SPI tertulis bahawa hanya boleh ada 6 grade C- dalam satu result slip. Adakah result ko-kurikulum termasuk dalam result slip atau tak. Dia dapat C- for ko-kurikulum.,Yes,General,Referred to Ustaz Abdillah of IPIP,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,16:03:00,16,Counter,Transaction,Handed over IPIP stickers for Ustazah Roslina Ismail of IPIP - Cik Jasni,No,General,Received stickers and placed on Ustazah Roslina Ismail's desk,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,30/08/2022,5,18:08:00,18,Counter,Transaction,Ustaz Raziff Bin Mustafa handed over contract for IPIP,No,General,Received contract and placed on Ustaz Hasan's desk,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
